id_restaurant,label,food_type,review
147,coco's 63 walnut creek,american,2
148,denny's restaurant 162,american,2
149,jojo's restaurant,american,2
150,lyons restaurant,american,2
151,chili's,american,3
152,denny's,american,2
153,hungry hunter,american,3.4
154,lyons restaurant,american,2
155,velvet turtle,american,2
156,big boy,american,2
157,edie's cafe,american,2
158,general store at marina bay,american,2
159,great american hamburger & pie co.,american,2
160,little louie's,american,2.5
161,hungry hunter,american,2
162,cheri's a family restaurant,american,2
163,spring street restaurant,american,2.7
164,chuck e cheeses,american,2
165,t g i  fridays,american,2.3
166,tgi fridays,american,2
167,amazing grace vegetarian restaurant,american,2
168,bullshead restaurant,american,3.9
169,cafe 222,american,2.3
170,ella's restaurant,american,3.4
171,fairmont crown buffet,american,3
172,fog city diner,american,3.1
173,harpoon louie's,american,2.3
174,harris' restaurant,american,3.2
175,huckleberry finn restaurant,american,2
176,izzy's steaks & chops,american,4
177,joe's cable car restaurant,american,3.3
178,lasavane west african restaurant & bar,american,2
179,m & m tavern,american,2
180,macarthur park restaurant,american,3
181,perry's,american,3
182,sabella & la torre,american,2.7
183,sugar broiler,american,2
184,up & down club,american,3.3
185,vince'south san francisco,american,2
186,broilerworks retaurants ltd,american,2
187,california kitchen,american,2
188,coco's,american,2
189,enio's family restaurant,american,2
190,hobee's montague exp,american,2.3
191,hungry hunter,american,2.9
192,jim's family restaurant,american,2
193,marie callender's,american,2
194,marie callender's pie shop,american,2.3
195,marie callenders,american,2.3
196,marriott family restaurants,american,2
197,carrows hickory chip restauran,american,2
198,denny's restaurant,american,2
199,denny's restaurant,american,2
200,lyons restaurant,american,2
201,nicks family restaurant,american,2.7
202,california kitchen,american,2
203,t g i  fridays,american,2.3
204,friday's of california,american,2
205,mudd's,american,3.8
206,t g i  fridays,american,2.3
207,tommy t's,american,2.3
208,marriott family restaurants,american,2
209,mcneils bar & grill,american,2
210,the good earth,american,2
211,petes family restaurant,american,2
212,pontiac grill,american,2.4
213,mikayla at c.madrona,american,3.4
214,denny's,american,2
215,golden grill restaurant,american,2
216,mullins pub & grill,american,2.3
217,country gourmet &,american,3
218,silver spoon cafe,american,2
219,silver spoon cafe,american,2
220,sunnyvale cattleman's,american,2.7
221,the silver spoon,american,2
222,carrows hickory chip restauran,american,2
223,zaida's filipino-american cuis,american,2
224,denny's restaurant,american,2
225,denny's restaurant,american,2
226,jamerican cuisine,american,2
227,lyons restaurant,american,2
228,rod's hickory pit restaurant,american,2
229,tommy's,american,2
230,western restaurant,american,2
231,abernathy's restaurant,american,2
232,buttercup kitchen,american,2.3
233,copper skillet,american,2
234,crogan's bar & grill,american,2.3
235,denny's restaurant,american,2
236,lyons restaurant,american,1.7
237,marie callenders-walnut creek,american,2
238,vic stewarts,american,2.5
239,yountville bar & grill,american,2
240,barbary coast,american,2.8
241,california cafe,american,3.6
242,hawthorne lane,american,4.3
243,boulevard,american,4
244,tgi fridays,american,1.5
245,gate five,american,2.8
246,cacti bar and mesquite grill,american,3.3
247,lark creek cafe,american,3.1
248,the house,american,3.9
249,sylvia's country kitchen,american,2.7
250,spurs,american,2.5
251,baker's square,american,2
252,bakers square restaurant & pie shop,american,2
253,bakers square restaurant & pie shop,american,1.7
254,checkers pizza & frozen yogurt,american,2
255,marios family restaurant,american,2
256,union hotel restaurant,american,2
257,bakers square restaurant & pie,american,2
258,bakers square restaurant & pies,american,3
259,dunville market,american,2.7
260,flames,american,2.3
261,birk's,american,2.3
262,mixx-an american bistro,american,2.8
263,empire tap room,american,3.1
264,94th aero squadron,american,3
265,t.g.i.friday,american,2.8
266,applebees,american,2.3
267,pleasanton hotel,american,3.5
268,sky kitchen,american,2
269,peggy sue's,american,2
270,harbor 15,american,2
271,pearl's cafe,american,3.2
272,banta inn,american,2
273,green mill inn,american,2.7
274,bagdad cafe,american,3.2
275,little orphan andys,american,2.6
276,tuba garden,american,2.3
277,sorci's restaurant,american,2.5
278,kelly's restaurant,american,3
279,tnn properties ,american,2
280,parkside restaurant,american,2.7
281,ridge side cafe,american,2.7
282,kenwood restaurant & bar,american,3
283,buckley lodge,american,3.3
284,broiler express,american,2.3
285,union hotel,american,3.4
286,planet hollywood,american,2.3
287,harbor fifteen,american,2
288,villa coffee shop,american,2.7
289,allied arts guild,american,2.7
290,red tractor cafe,american,2.3
291,marie callender's restaurant & bakery,american,2.3
292,ricks,american,2.7
293,chili great chili,american,2
294,goodie goodie cafe,american,2
295,bandera,american,3.6
296,sophie's cookhouse,american,2.3
297,big horn,american,2.3
298,julie rings heart & soul,american,2.7
299,home plate,american,3
300,brandon's of saratoga,american,3.4
301,alexi's,american,2.3
302,shelby's,american,2
303,birks,american,2
304,julie rings heart & soul,american,3
305,max's opera cafe of burlingame,american,2.6
306,bill's cafe,american,2.8
307,applebee's,american,2
308,zuni cafe,american,2.3
309,friday's,american,2
310,jim's country style restaurant,american,2.7
311,hobee's california restaurant,american,2.3
312,lehr brothers bistro and grill,american,3.2
313,manka's inverness lodge,american,3.5
314,the flying boar,american,2
315,faz,american,2
316,baker's square,american,2.3
317,savoy at the boundry oak,american,3
318,blue sky cafe,american,3
319,country waffles,american,2.6
320,encore cafe,american,4.2
321,courtyard cafe,american,2.7
322,star rockets,american,2.3
323,john's grill,american,3.5
324,tadich grill,american,2.6
325,hard rock cafe,american,2.3
326,max's opera cafe,american,2.3
327,val's redwood room,american,2.5
328,max's opera cafe,american,3.2
329,star,american,3.4
330,the restaurant at convict lake,american,2
331,the mogul,american,2.7
332,eugene's bay view bar and restaurant,american,2.7
333,millie's kitchen,american,2.6
334,bix,american,3.3
335,powell's place,american,2.3
336,buttercup pantry,american,2
337,buttercup pantry,american,2.3
338,"bear republic brewing co., inc.",american,2
339,mecca,american,3.3
340,alex's restaurant & pub,american,2
341,sneakers pub & grill,american,3.3
342,cinnabar,american,2
343,mimi's cafe,american,2.7
344,del monte express,american,2
345,crescent park grill,american,2.7
346,caprices restaurant & cafe,american,2.7
347,chili's grill & bar,american,2
348,meharry's,american,2
349,two fools cafe & market,american,2.6
350,tradewinds,american,2.5
351,elephant bar,american,2.3
352,claim jumper,american,2.7
353,the montclair eggshop,american,2.3
354,cameron's restaurant and inn,american,2
355,swan court cafe,american,2
356,the hog's breath inn,american,2.7
357,mission ranch,american,2.7
358,elysium cafe,american,3.6
359,spoons restaurant,arabic,2.9
360,noor's cafe,arabic,2
361,pasha,arabic,2.1
362,the grapeleaf restaurant,arabic,3
363,sunrise deli,arabic,2.7
364,the armenian gourmet,armenian,3.4
365,lucky dragon,asian,2.3
366,pacific rim buffet,asian,2
367,fung lum restaurant,asian,2.4
368,house of orient,asian,2
369,oriental garden restaurant,asian,2
370,masayuki's,asian,2
371,wok west,asian,2
372,oriental kitchen,asian,2
373,lotus garden,asian,2.5
374,yet wah restaurant,asian,2.8
375,mings kitchen,asian,2.3
376,yeung shing restaurant,asian,2
377,chef wang restaurant,asian,3
378,fung jen palace,asian,2.4
379,hong kong garden restaurant,asian,2
380,hungkee garden restaurant,asian,1.5
381,jangtu soondae restaurant,asian,2
382,manila chopsticks,asian,2
383,pho 909 restaurant,asian,2
384,pho super bowl,asian,3.5
385,pho world,asian,2.8
386,the new orient,asian,2.3
387,chef wang,asian,3.3
388,pedro point restaurant,asian,3.3
389,chin's restaurant,asian,2.3
390,ling nam noodle house,asian,2
391,bamboo garden,asian,2
392,fon yong restaurant,asian,2
393,golden palace restaurant,asian,2
394,grandehos hibachi,asian,2
395,luck jade restaurant,asian,2
396,wang's house,asian,2.3
397,chu's garden restaurant,asian,2.7
398,uncle chen restaurant,asian,3.3
399,anh dao restaurant,asian,2
400,bac huong restaurant,asian,3
401,binh minh restaurant,asian,2
402,chau kee restaurant,asian,2
403,dac phuc restaurant,asian,2.3
404,hoa xuan restaurant,asian,2
405,kowloon kitchen,asian,2
406,lai lai restaurant,asian,2
407,long hai restaurant,asian,2
408,long hoa restaurant,asian,2
409,lung wah restaurant,asian,2
410,nha thanh restaurant,asian,2
411,paradise oriental restaurant,asian,2
412,pho 90 restaurant,asian,2
413,pho hien,asian,2
414,pho hoang restaurant,asian,2
415,pho thanh hien restaurant,asian,2
416,quang da restaurant,asian,2
417,sanuki restaurant,asian,2
418,song tien restaurant,asian,2
419,soong soong restaurant,asian,2
420,thanh ha,asian,2
421,thanh ha com chay,asian,2
422,thanh huong ii,asian,2
423,thanh son tofu che hien khanh,asian,2
424,thanh van ii restaurant,asian,2
425,vung tau restaurant,asian,1.8
426,yeung's sung yuan restaurant,asian,2
427,new kwok wah,asian,2
428,the pot sticker,asian,2.7
429,viet hung restaurant,asian,2
430,mister go ii oriental cuisine,asian,2
431,pho hoa,asian,2.5
432,sham hing restaurant,asian,2
433,su's mongolian b b,asian,3
434,asian rose restaurant,asian,3.2
435,asian rose restaurant,asian,2.8
436,bamboo restaurant,asian,2
437,mei garden restaurant,asian,2
438,mei garden restaurant,asian,2.3
439,golden buddha restaurant,asian,2.8
440,orient expresso,asian,2
441,wee ming restaurant,asian,2
442,chef chen,asian,2
443,king wah restaurant,asian,2.3
444,pho golden bowl restaurant,asian,2.7
445,pho xe lua noodle house,asian,2
446,phu hai restaurant,asian,2
447,the new orient,asian,2
448,the house,asian,3.9
449,oriental express,asian,2
450,oriental pearl restaurant,asian,2
451,oriental restaurant,asian,2
452,oriental seafood restaurant,asian,2
453,wanton house,asian,2.3
454,chicken bowl,asian,2
455,sticks,asian,3
456,betelnut pejiu wu,asian,3.6
457,season buffet,asian,2.2
458,lhasa moon,asian,3
459,crustacean,asian,3
460,ru lepic,asian,2.7
461,crustacean,asian,2
462,bok choy asian market cafe,asian,3.6
463,s & b,bbq,2.7
464,boogie woogie bagel boy,bagels,2.7
465,lox stock & bagel,bagels,2
466,lox stock & bagel,bagels,2
467,noah's bagels,bagels,3.8
468,lox stock & bagel inc,bagels,2
469,noahs new york bagels,bagels,2
470,the posh bagel,bagels,3.4
471,the posh bagel,bagels,3
472,the posh bagel,bagels,2
473,morgan hill bagel house,bagels,3
474,the better bagel,bagels,2.4
475,that bagel place,bagels,2
476,the bagel adventure,bagels,1.7
477,lox stock & bagel,bagels,2
478,suzy's lox & bagel,bagels,2
479,bagel works,bagels,3.7
480,bagel,bagels,2.7
481,the bagelry,bagels,2.3
482,the bagelry,bagels,2.8
483,broadway bagels,bagels,2
484,saratoga bagels,bagels,2.2
485,the bagelry,bagels,2
486,phil a bagel,bagels,2.7
487,noahs bagels,bagels,3.1
488,brother's bagels,bagels,2
489,sonoma valley bagel co,bagels,3
490,sonoma valley bagel co,bagels,2
491,home grown bagels bakery & restaurant,bagels,2
492,homegrown bagels bakery & restaurant,bagels,2
493,noah's new york bagels,bagels,2.6
494,house of bagels,bagels,4
495,house of bagels,bagels,2.7
496,the bagelry,bagels,3
497,noah's bagels,bagels,2.7
498,berrys pastry shop,bakery,2
499,windmill family restaurant & bakery,bakery,2
500,renee's bakery,bakery,2
501,hello croissant,bakery,2
502,windmill family restaurant & bakery,bakery,2
503,gayle's bakery & rosticceria,bakery,3
504,granny eng's donut & bakery,bakery,2
505,paradise bakery,bakery,2
506,muffin treat,bakery,2
507,conrad's pastries,bakery,2
508,creative croissants,bakery,2.8
509,martha's pastries,bakery,2
510,gold ribbon bakeshop & restaurant,bakery,2
511,villa corona bakery,bakery,2
512,la brasserie,bakery,2.7
513,ruby king bakery,bakery,2
514,fairmont bake shop,bakery,2
515,palo alto baking co.,bakery,3.8
516,prolific oven,bakery,3.3
517,stanford pastries,bakery,2
518,dutch treats bakery,bakery,2
519,vie de france corporation,bakery,2
520,noble pies,bakery,2
521,rosemary's bakery,bakery,2.7
522,the little bread board,bakery,2
523,andre-boudin bakeries,bakery,2
524,freshly baked eatery,bakery,2
525,the bread basket,bakery,2
526,creative croissante,bakery,2
527,german bakery,bakery,2.3
528,rebecca's mighty muffins,bakery,3
529,sisters bake shop & restaurant,bakery,2
530,vie de france bakery,bakery,2
531,andre-boudin bakeries inc,bakery,2.3
532,california bakery and restaurant,bakery,2
533,coco's bakery,bakery,2
534,piner bakery,bakery,2
535,east west bakery cafe,bakery,2
536,feed store cafe & bakery the,bakery,2
537,home grown bagels bakery & restaurant,bakery,2
538,homegrown bagels bakery & restaurant,bakery,2
539,homegrown baking company bakery & restaurant,bakery,2
540,homegrown baking company bakery & restaurant,bakery,2
541,oh la la bakery cafes,bakery,2
542,suzanne's muffins,bakery,2
543,o! croissant,bakery,2
544,douce france,bakery,3.3
545,douce france,bakery,2
546,jil's patisserie,bakery,3.4
547,red a bakery,bakery,2
548,special treats patisserie,bakery,3
549,bijan,bakery,3
550,the cakery,bakery,3.5
551,specialty's cafe and bakery,bakery,3
552,napa valley ovens,bakery,2
553,stella bakery,bakery,3.6
554,quick's little alaska,bar,1.7
555,the office inc,bar,2
556,beer garden,bar,2
557,ausiello's tavern,bar,2
558,belmont bar & grill,bar,2
559,henfling's tavern,bar,1.8
560,choices,bar,2.7
561,o leary's pub,bar,2.7
562,pastime club,bar,2.7
563,the brewery tia theresa,bar,1.7
564,this bar,bar,2
565,barney's solano,bar,3
566,berkeley square,bar,2
567,bison brewing,bar,2.6
568,jupiter,bar,3.2
569,santa fe bar and grill,bar,3
570,skates on the bay,bar,3.9
571,starry plough pub,bar,2.5
572,temple bar,bar,2
573,the albatross pub,bar,2.3
574,the juice bar collective inc,bar,2
575,scopazzi restaurant,bar,2.8
576,behans an irish pub,bar,2
577,california bar & grill,bar,2
578,california bar & grill,bar,2
579,dicey rileys irish pub,bar,2
580,calistoga inn/calistoga brewer,bar,2.3
581,gary's sports bar & grill,bar,2.6
582,grand dell saloon,bar,1.7
583,jerseys tavern,bar,2.8
584,kyoto palace,bar,2.7
585,deja vu cocktail lounge,bar,2
586,doucet saloon,bar,2
587,poggi's waterfall lounge,bar,2
588,oaks tavern,bar,2
589,giovannis bar & grill,bar,2
590,hobies roadhouse,bar,2.3
591,t r 's bar & grill,bar,3.3
592,tachi sushi bar,bar,2
593,the company bar,bar,2
594,tropical squeeze juice bar,bar,2
595,upper level bar & grill,bar,2
596,valley lounge,bar,2
597,monte vista inn,bar,2
598,skip's bar & grill,bar,2
599,carnival bar & grill,bar,2
600,globe tavern,bar,2
601,silver moon saloon,bar,2
602,bartolomucci incorporated,bar,2.7
603,elliott's bar inc,bar,2
604,evie's place,bar,2
605,gallagher's dublin pub,bar,2
606,lyon's brewery of dublin,bar,3.2
607,patrick's pub,bar,2
608,doctors sports bar & grill,bar,2
609,capri club,bar,2
610,nick's lounge,bar,2
611,the club omni,bar,2
612,ding's cocktail lounge,bar,2
613,gino's sportsman's club,bar,2
614,legends & heroes sports bar,bar,2
615,back door lounge,bar,2
616,cheers cocktail lounge,bar,2
617,j c lounge,bar,2
618,jd's cocktail lounge,bar,2
619,mission bell tavern,bar,2
620,niles hard rock station,bar,2
621,the office lounge,bar,2
622,tony's lounge,bar,2
623,san benito house & saloon,bar,3
624,bottoms up club,bar,2
625,buffalo bill's brewery,bar,3.3
626,calhoun cocktail lounge,bar,2
627,daphne gonzales food bar,bar,2
628,doucet's lounge,bar,2
629,driftwood lounge,bar,2
630,fernandes stein longue,bar,2
631,gallaghers pub,bar,2
632,geneos lounge,bar,2
633,hot spot lounge,bar,2
634,jack's saloon,bar,2
635,layman's lounge,bar,2
636,mission lounge,bar,2
637,noraebang bar,bar,2
638,rumors,bar,2
639,shar ade cocktails,bar,2
640,vintage cellars wine bar cafe,bar,2.3
641,whiskey river saloon,bar,2
642,zacks sport lounge,bar,2
643,whiskey creek saloon,bar,2
644,round-up saloon,bar,1.7
645,toot's tavern,bar,2
646,beebs bar & grill,bar,2.8
647,rock house saloon,bar,2
648,the lounge,bar,2
649,mountain charley's saloon,bar,2
650,fubar's comedy club bar & gril,bar,2
651,main street tavern,bar,2
652,juice club,bar,2
653,oasis beer garden,bar,3
654,galaxy cocktail lounge,bar,2
655,town tavern,bar,2
656,moraga barn,bar,2
657,m & h tavern,bar,2.7
658,tied house cafe & brewery,bar,3
659,harry o'shortal's yard of ale,bar,2
660,hemphill's cocktail lounge,bar,2
661,lamplighter lounge,bar,2
662,nite cap,bar,2
663,riverside lounge,bar,2
664,the green door,bar,2
665,gubera's pub & hofbrau,bar,2
666,hideway lounge,bar,2
667,ike's cocktail lounge,bar,2
668,knotty pine tavern,bar,2
669,la movida bar,bar,2
670,2101 club inc,bar,2
671,400 club,bar,2
672,a & c club,bar,1.7
673,bark n bun,bar,2
674,barney's,bar,3
675,barney's,bar,3
676,bench & bar,bar,2.3
677,cabel's reef bar,bar,2
678,club aloha,bar,2
679,club eve,bar,2
680,club martinique,bar,2
681,club millroc,bar,2
682,continental club,bar,2
683,court lounge,bar,2
684,eli's mile high club & restaur,bar,2
685,fruitvale lounge,bar,2
686,golden hours lounge,bar,2
687,heinolds first & last chance,bar,2.7
688,hilltop tavern,bar,2
689,hughes & nells soul food bar,bar,2
690,jo ellens lamp lighter lounge,bar,2
691,kim's lounge,bar,2
692,laurel lounge,bar,2
693,maxines,bar,2
694,mc-nally's inc,bar,2
695,mc-nally's inc,bar,2.7
696,oliver's hof-brau & cocktail,bar,3
697,ray's club,bar,2
698,rumors,bar,2
699,seven seas,bar,2
700,soon's cocktail lounge,bar,2
701,sports page,bar,2
702,stork club,bar,2
703,the club omni,bar,2
704,the graduate,bar,2
705,the hut,bar,2
706,villa nova lounge,bar,2
707,whispers cocktail lounge,bar,2
708,yee old inn,bar,2
709,melody lounge,bar,2
710,olympic juice bar,bar,2
711,cheers of pacifica,bar,2
712,sport's bar at vallemar statio,bar,3.2
713,big sky ranch & saloon,bar,2
714,gordon biersch brewery restaurant,bar,2.7
715,rose & crown english food and ale,bar,3.8
716,duarte's tavern,bar,3.5
717,antlers tavern,bar,2
718,green lantern lounge,bar,2
719,pete's place,bar,2
720,silver ridge lounge,bar,2
721,kruegers cocktail lounge,bar,2
722,cj's saloon,bar,2
723,monument lounge,bar,2
724,elvira's castle bar,bar,2
725,hap's bar & restaurant,bar,2
726,pardners inn,bar,2
727,popi lounge,bar,2.7
728,sunshine saloon,bar,3
729,the hop yard,bar,2.8
730,union jack pub,bar,2
731,y all come back saloon,bar,2
732,alpine beer garden,bar,2.3
733,danny's tavern,bar,2
734,pudley's,bar,2
735,carousal lounge,bar,2
736,jerry's cocktail lounge,bar,2
737,little ricky's lounge,bar,2
738,richmond galileo club,bar,2
739,rody's bar,bar,2
740,the elkhorn cocktail lounge,bar,2
741,striper lounge & restaurant,bar,2.3
742,state's tavern,bar,2.3
743,the pub,bar,2
744,the rio saloon,bar,2
745,j b's laurel cocktail lounge,bar,1.7
746,pudley's,bar,2
747,club 181,bar,2
748,bini's bar & grille,bar,2.7
749,buckhorn tavern,bar,2
750,cup & saucer,bar,2
751,drinks drive thru,bar,2
752,foxn hounds tavern,bar,2
753,gaslight bar & grill,bar,2
754,green parrot lounge,bar,2
755,gregÕs bar,bar,2
756,la cueva bar,bar,2
757,redwood cabin tavern,bar,2
758,tavern 190,bar,2
759,daisy's saloon & liquors,bar,2
760,mom & pop's saloon,bar,2
761,river oaks store & saloon,bar,2
762,billie's lounge,bar,2
763,brass putter,bar,2
764,gass house lounge,bar,2
765,gerry's lounge,bar,2
766,lakeside lounge,bar,2
767,marina cocktail lounge,bar,2
768,shooter's cocktail lounge,bar,2
769,tommy t's cocktail lounge,bar,2
770,prince of wales,bar,3.4
771,r b's pub,bar,2
772,tiny's tavern,bar,2
773,sidelines sport bar/grill rstr,bar,2
774,a tinker's damn,bar,2.3
775,duke's cocktail lounge,bar,2
776,martins cocktail lounge,bar,2
777,sportsman bar,bar,2
778,the 5 cs tavern,bar,2
779,99 bottles of beer on the wall,bar,2.4
780,island pacific beverage,bar,2
781,paul's cocktail lounge,bar,2
782,poet & patriot irish pub,bar,2
783,rons seaside saloon,bar,2
784,santa cruz brewing company,bar,3
785,the blue lagoon cocktail lounge,bar,2.3
786,j j 's saloon,bar,2
787,sir froggy's pub,bar,2
788,a j's waterin hole,bar,2
789,parkers old town tavern,bar,2
790,vic's pioneer bar,bar,2
791,a & w restaurant,bar,2
792,benchmark brewing company,bar,2
793,cheers,bar,1.7
794,faultline brewing company,bar,2.8
795,dyer street salon,bar,2
796,leo's lounge,bar,2
797,old mill tavern,bar,2
798,the shuttle cocktail lounge,bar,2
799,after five,bar,2
800,bandwagon lounge,bar,2
801,chris's club,bar,2
802,dinky doo's bar,bar,2
803,dunphy's tavern,bar,2
804,freddie's china barn,bar,2
805,george's den,bar,2
806,horse & cow,bar,2
807,josey wales country nite club,bar,2
808,kesler's lounge,bar,2
809,my office bar & grill,bar,2
810,nitti gritti lounge,bar,2
811,popcorn tavern,bar,2
812,shamrock club,bar,2
813,stan's lounge,bar,2
814,terrible teris tavern,bar,2
815,artie's countrywood lounge inc,bar,2
816,d j,bar,2
817,dan's bar,bar,2
818,onyx,bar,2
819,sports bar,bar,2
820,wplj's,bar,2.3
821,mel's waterfront bar & food,bar,2
822,pioneer saloon,bar,2
823,bad otter,bar,2.8
824,jupiter,bar,2.6
825,fords snack bar,bar,2
826,wallys bar & grill,bar,2
827,wallys restaurant & bar,bar,2
828,fords snack bar,bar,2
829,russian river pub,bar,2
830,holidaze bar & grill,bar,2
831,kelly's bar & restaurant,bar,2
832,mcnear's saloon & dining house,bar,3
833,papas' taverna,bar,2.4
834,stormy's bloomfield tavern spirits & supper,bar,3
835,volpi's ristorante & bar,bar,2.6
836,chili's grill & bar,bar,2
837,cybelle's pizza & sports bar,bar,2
838,don's bar & sports,bar,2
839,yu shang mandarin restaurant & sushi bar,bar,1.7
840,barleycorn's saloon & eatery,bar,2
841,bull moose saloon & pizza co,bar,2
842,joe's of santa rosa restaurant & bar,bar,2
843,john barleycorn saloon & eatery,bar,2
844,lucas wharf restaurant & bar,bar,2
845,pierce street annex restaurant and bar,bar,2
846,r & s bar,bar,2
847,rusty putter restaurant & bar,bar,2
848,sharleen's snack bar,bar,2
849,sweetriver saloon,bar,2
850,sausalito inn bar & restaurant,bar,2
851,greenhouse restaurant & tavern restaurant,bar,2
852,jasper o'farrell's pub & restaurant,bar,2
853,skip's bar & grill,bar,2
854,eastside oyster bar & grill,bar,2.7
855,sonoma grove bar & grill,bar,2
856,bankfirst natl bar & grill,bar,2
857,todd park snack bar,bar,2
858,mortara joe snack bar,bar,2
859,anchor oyster bar,bar,2.7
860,aroma espresso bar,bar,2
861,banks bar,bar,2
862,blarney stone bar & restaurant,bar,2
863,city of paris restaurant & bar,bar,2.7
864,eat & run snack bar,bar,2
865,el oso bar and restaurant,bar,2
866,garden juice bar,bar,2
867,greeley's restaurant & bar,bar,2
868,jazz at pearl's restaurant & bar,bar,2.7
869,joes snack bar,bar,2
870,johnnys o's snack bar,bar,2
871,kezar bar & restaurant,bar,2.3
872,lee's snack bar,bar,2
873,martin macks bar & restaurant,bar,2
874,metro bar and restaurant the,bar,2
875,monte carlo restaurant & bar t,bar,2
876,oppenheimer restaurant & bar,bar,2
877,parc place restaurant & bar,bar,2
878,pearl's jazz restaurant & bar,bar,2
879,r cafe bar & restaurant,bar,2
880,raw bar hyde street seafood ho,bar,2
881,richards snack bar,bar,2
882,square bar & restaurant the,bar,2
883,st john's snack bar,bar,2
884,steve's snack bar,bar,2
885,pasta pomodor,bar,2
